slug,url,status,bytes,path
pakistans-groundwater-crisis-policy-lessons-and-a-framework-for-sustainable-resource-use,https://file.pide.org.pk/pdfpideresearch/wp-26-07-pakistans-groundwater-crisis-policy-lessons-and-a-framework-for-sustainable-resource-use.pdf,already_present,2383340,pdfs/2026/08/wp-26-07-pakistans-groundwater-crisis-policy-lessons-and-a-framework-for-sustainable-resource-use.pdf
border-closures-conflict-and-the-trade-of-perishable-goods,https://file.pide.org.pk/pdfpideresearch/pv-71-border-closures-conflict-and-the-trade-of-perishable-goods.pdf,already_present,1782868,pdfs/2026/08/pv-71-border-closures-conflict-and-the-trade-of-perishable-goods.pdf
the-first-cargo,https://file.pide.org.pk/pdfpideresearch/pv-70-the-first-cargo.pdf,already_present,52153849,pdfs/2026/08/pv-70-the-first-cargo.pdf
shrimp-aquaculture-as-pakistans-next-blue-economy-opportunity-lessons-from-dhabeji-farmk,https://file.pide.org.pk/pdfpideresearch/kb-160-shrimp-aquaculture-as-pakistans-next-blue-economy-opportunity-lessons-from-dhabeji-farmk.pdf,already_present,3797322,pdfs/2026/08/kb-160-shrimp-aquaculture-as-pakistans-next-blue-economy-opportunity-lessons-from-dhabeji-farmk.pdf
beyond-raw-exports-capturing-value-from-pakistans-himalayan-pink-salt,https://file.pide.org.pk/pdfpideresearch/pv-69-beyond-raw-exports-capturing-value-from-pakistans-himalayan-pink-salt.pdf,already_present,5205595,pdfs/2026/08/pv-69-beyond-raw-exports-capturing-value-from-pakistans-himalayan-pink-salt.pdf
decoding-joblessness-in-pakistan-a-generational-and-temporal-analysis,https://file.pide.org.pk/pdfpideresearch/wp-26-06-decoding-joblessness-in-pakistan-a-generational-and-temporal-analysis.pdf,already_present,1765607,pdfs/2026/08/wp-26-06-decoding-joblessness-in-pakistan-a-generational-and-temporal-analysis.pdf
completing-pakistans-white-oil-pipeline-backbone-promise-and-risks-of-mtt-wop,https://file.pide.org.pk/pdfpideresearch/kb-159-completing-pakistans-white-oil-pipeline-backbone-promise-and-risks-of-mtt-wop.pdf,already_present,3973969,pdfs/2026/07/kb-159-completing-pakistans-white-oil-pipeline-backbone-promise-and-risks-of-mtt-wop.pdf
an-analysis-of-the-determinants-of-national-savings-and-total-investment-in-pakistan,https://file.pide.org.pk/pdfpideresearch/wp-26-05-an-analysis-of-the-determinants-of-national-savings-and-total-investment-in-pakistan.pdf,already_present,2142200,pdfs/2026/07/wp-26-05-an-analysis-of-the-determinants-of-national-savings-and-total-investment-in-pakistan.pdf
energy-transition-what-it-means-what-the-evidence-shows-and-what-it-implies-for-pakistan,https://file.pide.org.pk/pdfpideresearch/kb-158-energy-transition-what-it-means-what-the-evidence-shows-and-what-it-implies-for-pakistan.pdf,already_present,4083296,pdfs/2026/07/kb-158-energy-transition-what-it-means-what-the-evidence-shows-and-what-it-implies-for-pakistan.pdf
stalled-transitions-constrained-choices-evidence-from-hies-2024-25-and-the-conditions-for-pakistans-demographic-dividend,https://file.pide.org.pk/pdfpideresearch/kb-157-stalled-transitions-constrained-choices.pdf,already_present,1129820,pdfs/2026/07/kb-157-stalled-transitions-constrained-choices.pdf
