slug,title,date,link,detail_status
the-first-middle-east-alliance-that-doesnt-need-washingtons-permission,The first Middle East alliance that doesn’t need Washington’s permission,2026-08-25T11:00:40,https://pide.org.pk/research/the-first-middle-east-alliance-that-doesnt-need-washingtons-permission/,200
pakistan-is-sitting-on-a-trade-route-worth-billions-and-blocking-it,Pakistan Is Sitting On A Trade Route Worth Billions And Blocking It,2026-08-25T10:58:23,https://pide.org.pk/research/pakistan-is-sitting-on-a-trade-route-worth-billions-and-blocking-it/,200
gold-rising-dollar-wavering-inside-the-new-economic-cold-war-and-its-impact-on-pakistan,"Gold rising, dollar wavering: inside the new economic ‘Cold War’ and its impact on Pakistan",2026-08-25T10:56:42,https://pide.org.pk/research/gold-rising-dollar-wavering-inside-the-new-economic-cold-war-and-its-impact-on-pakistan/,200
pakistans-missing-millions,Pakistan’s missing millions,2026-08-24T11:05:14,https://pide.org.pk/research/pakistans-missing-millions/,200
when-demographics-penalise-progress,When demographics penalise progress,2026-08-21T14:57:00,https://pide.org.pk/research/when-demographics-penalise-progress/,200
irans-supreme-leader-is-back-in-control-that-may-be-why-diplomacy-with-washington-just-collapsed,Iran’s supreme leader is back in control. That may be why diplomacy with Washington just collapsed,2026-08-21T14:56:42,https://pide.org.pk/research/irans-supreme-leader-is-back-in-control-that-may-be-why-diplomacy-with-washington-just-collapsed/,200
the-mineral-corridor,The mineral corridor,2026-08-21T14:56:21,https://pide.org.pk/research/the-mineral-corridor/,200
saving-less-growing-less-2,"Saving less, growing less",2026-08-21T14:56:04,https://pide.org.pk/research/saving-less-growing-less-2/,200
the-numbers-missing-from-indias-four-day-war-documentary,The numbers missing from India’s four-day-war documentary,2026-08-19T13:52:49,https://pide.org.pk/research/the-numbers-missing-from-indias-four-day-war-documentary/,200
from-makkah-to-gwadar-how-a-wartime-pact-could-redraw-eurasia,From Makkah to Gwadar: How a Wartime Pact Could Redraw Eurasia,2026-08-19T13:49:53,https://pide.org.pk/research/from-makkah-to-gwadar-how-a-wartime-pact-could-redraw-eurasia/,200
