month,items,research,press,other,with_pdf,downloaded,words
2022-01,34,24,9,1,32,32,28852
2022-02,40,29,8,3,35,35,37377
2022-03,32,11,20,1,29,29,31435
2022-04,31,11,17,3,28,28,25957
2022-05,20,10,9,1,17,17,23291
2022-06,44,32,11,1,41,41,42592
2022-07,16,7,9,0,15,15,23985
2022-08,66,54,11,1,63,63,40958
2022-09,25,10,15,0,24,24,28430
2022-10,30,12,18,0,26,26,29597
2022-11,67,55,12,0,66,65,55264
2022-12,52,29,23,0,46,46,32313
2023-01,59,38,20,1,52,52,54371
2023-02,25,15,10,0,24,24,12616
2023-03,51,32,16,3,50,50,54294
2023-04,11,4,7,0,10,10,10229
2023-05,50,38,10,2,49,49,51101
2023-06,19,6,12,1,18,18,14177
2023-07,17,6,9,2,16,16,12688
2023-08,47,40,6,1,47,47,52609
2023-09,17,5,11,1,17,17,11969
2023-10,56,49,7,0,56,56,50592
2023-11,23,14,6,3,23,23,15707
2023-12,20,11,8,1,20,20,22516
2024-01,96,88,7,1,96,96,138295
2024-02,33,30,2,1,33,33,18198
2024-03,50,42,7,1,50,50,62627
2024-04,21,12,7,2,21,20,15765
2024-05,45,32,13,0,45,45,54880
2024-06,25,16,9,0,25,25,13445
2024-07,16,1,14,1,12,12,13932
2024-08,63,48,10,5,63,63,94210
2024-09,22,8,11,3,22,22,23439
2024-10,68,56,12,0,68,68,73692
2024-11,6,3,3,0,6,6,9136
2024-12,6,2,4,0,6,6,5461
2025-01,42,30,12,0,42,42,50946
2025-02,10,3,7,0,10,9,10390
2025-03,20,8,12,0,19,19,17971
2025-04,11,1,10,0,11,11,8019
2025-05,40,27,13,0,39,39,55731
2025-06,30,20,10,0,29,29,46569
2025-07,25,6,18,1,21,21,20190
2025-08,21,3,18,0,4,4,4894
2025-09,30,18,11,1,23,23,33087
2025-10,25,3,21,1,12,12,7206
2025-11,22,6,16,0,12,12,3551
2025-12,25,2,22,1,10,10,3215
2026-01,42,28,14,0,33,33,36651
2026-02,13,3,10,0,3,3,5888
2026-03,27,5,21,1,7,7,7925
2026-04,32,8,23,1,16,16,14957
2026-05,46,26,20,0,28,28,41881
2026-06,41,12,29,0,15,15,24482
2026-07,37,11,26,0,11,11,26116
2026-08,42,6,36,0,6,6,11402
