slug,title,date,month,year,category,sub_category,authors,keywords,jel_codes,page_url,pdf_url,extra_pdf_urls,cited_external_pdfs,pdf_path,fulltext_path,word_count
the-first-middle-east-alliance-that-doesnt-need-washingtons-permission,The first Middle East alliance that doesn’t need Washington’s permission,2026-08-25,2026-08,2026,PIDE in Press,PIDE in Press,Mansoor Qaisar,,,https://pide.org.pk/research/the-first-middle-east-alliance-that-doesnt-need-washingtons-permission/,,,,,,0
pakistan-is-sitting-on-a-trade-route-worth-billions-and-blocking-it,Pakistan Is Sitting On A Trade Route Worth Billions And Blocking It,2026-08-25,2026-08,2026,PIDE in Press,PIDE in Press,Mansoor Qaisar,,,https://pide.org.pk/research/pakistan-is-sitting-on-a-trade-route-worth-billions-and-blocking-it/,,,,,,0
gold-rising-dollar-wavering-inside-the-new-economic-cold-war-and-its-impact-on-pakistan,"Gold rising, dollar wavering: inside the new economic ‘Cold War’ and its impact on Pakistan",2026-08-25,2026-08,2026,PIDE in Press,PIDE in Press,Madiha Riaz,,,https://pide.org.pk/research/gold-rising-dollar-wavering-inside-the-new-economic-cold-war-and-its-impact-on-pakistan/,,,,,,0
pakistans-missing-millions,Pakistan’s missing millions,2026-08-24,2026-08,2026,PIDE in Press,PIDE in Press,Nabila Kunwal; Shujaat Farooq,,,https://pide.org.pk/research/pakistans-missing-millions/,,,,,,0
when-demographics-penalise-progress,When demographics penalise progress,2026-08-21,2026-08,2026,PIDE in Press,PIDE in Press,Mehwish Mumtaz,,,https://pide.org.pk/research/when-demographics-penalise-progress/,,,,,,0
the-mineral-corridor,The mineral corridor,2026-08-21,2026-08,2026,PIDE in Press,PIDE in Press,Saqib Ur Rehman Mughal,,,https://pide.org.pk/research/the-mineral-corridor/,,,,,,0
saving-less-growing-less-2,"Saving less, growing less",2026-08-21,2026-08,2026,PIDE in Press,PIDE in Press,Rafia Ali,,,https://pide.org.pk/research/saving-less-growing-less-2/,,,,,,0
pakistans-groundwater-crisis-policy-lessons-and-a-framework-for-sustainable-resource-use,Pakistan’s Groundwater Crisis: Policy Lessons and a Framework for Sustainable Resource Use,2026-08-21,2026-08,2026,Working Paper; Recent Publications,Recent Publications; Working Paper,Nazam Maqbool,,,https://pide.org.pk/research/pakistans-groundwater-crisis-policy-lessons-and-a-framework-for-sustainable-resource-use/,https://file.pide.org.pk/pdfpideresearch/wp-26-07-pakistans-groundwater-crisis-policy-lessons-and-a-framework-for-sustainable-resource-use.pdf,,,pdfs/2026/08/wp-26-07-pakistans-groundwater-crisis-policy-lessons-and-a-framework-for-sustainable-resource-use.pdf,data/fulltext/pakistans-groundwater-crisis-policy-lessons-and-a-framework-for-sustainable-resource-use.txt,1702
irans-supreme-leader-is-back-in-control-that-may-be-why-diplomacy-with-washington-just-collapsed,Iran’s supreme leader is back in control. That may be why diplomacy with Washington just collapsed,2026-08-21,2026-08,2026,PIDE in Press,PIDE in Press,Mansoor Qaisar,,,https://pide.org.pk/research/irans-supreme-leader-is-back-in-control-that-may-be-why-diplomacy-with-washington-just-collapsed/,,,,,,0
border-closures-conflict-and-the-trade-of-perishable-goods,"Border Closures, Conflict, and the Trade of Perishable Goods",2026-08-21,2026-08,2026,Policy Viewpoint; Recent Publications,Recent Publications; Policy Viewpoint,Farah Naz; Anjeela Khurram,,,https://pide.org.pk/research/border-closures-conflict-and-the-trade-of-perishable-goods/,https://file.pide.org.pk/pdfpideresearch/pv-71-border-closures-conflict-and-the-trade-of-perishable-goods.pdf,,,pdfs/2026/08/pv-71-border-closures-conflict-and-the-trade-of-perishable-goods.pdf,data/fulltext/border-closures-conflict-and-the-trade-of-perishable-goods.txt,2586
the-first-cargo,The First Cargo,2026-08-20,2026-08,2026,Policy Viewpoint,Recent Publications; Policy Viewpoint,Nasir Iqbal; Shahzada M. Naeem Nawaz,,,https://pide.org.pk/research/the-first-cargo/,https://file.pide.org.pk/pdfpideresearch/pv-70-the-first-cargo.pdf,,,pdfs/2026/08/pv-70-the-first-cargo.pdf,data/fulltext/the-first-cargo.txt,2310
the-numbers-missing-from-indias-four-day-war-documentary,The numbers missing from India’s four-day-war documentary,2026-08-19,2026-08,2026,PIDE in Press,PIDE in Press,Mansoor Qaisar,,,https://pide.org.pk/research/the-numbers-missing-from-indias-four-day-war-documentary/,,,,,,0
from-makkah-to-gwadar-how-a-wartime-pact-could-redraw-eurasia,From Makkah to Gwadar: How a Wartime Pact Could Redraw Eurasia,2026-08-19,2026-08,2026,PIDE in Press,PIDE in Press,Mujtaba Arshad,,,https://pide.org.pk/research/from-makkah-to-gwadar-how-a-wartime-pact-could-redraw-eurasia/,,,,,,0
what-china-understood-about-ports-that-pakistan-still-doesnt,What China Understood About Ports That Pakistan Still Doesn’t,2026-08-18,2026-08,2026,PIDE in Press,PIDE in Press,Awais Ali,,,https://pide.org.pk/research/what-china-understood-about-ports-that-pakistan-still-doesnt/,,,,,,0
turning-waico-into-pakistans-ai-advantage,Turning WAICO into Pakistan’s AI advantage,2026-08-18,2026-08,2026,PIDE in Press,PIDE in Press,Eeman Taimur; Uzair Khaleeq-uz-Zaman,,,https://pide.org.pk/research/turning-waico-into-pakistans-ai-advantage/,,,,,,0
pakistan-has-won-the-diplomacy-now-comes-the-harder-test,"Pakistan has won the diplomacy, now comes the harder test",2026-08-18,2026-08,2026,PIDE in Press,PIDE in Press,Mansoor Qaisar,,,https://pide.org.pk/research/pakistan-has-won-the-diplomacy-now-comes-the-harder-test/,,,,,,0
after-mecca-the-rise-of-a-new-middle-east-security-order-and-irans-strategic-dilemma,After Mecca: The rise of a new Middle East security order and Iran’s strategic dilemma,2026-08-18,2026-08,2026,PIDE in Press,PIDE in Press,Mansoor Qaisar,,,https://pide.org.pk/research/after-mecca-the-rise-of-a-new-middle-east-security-order-and-irans-strategic-dilemma/,,,,,,0
securitys-weakest-link,Security’s weakest link,2026-08-17,2026-08,2026,PIDE in Press,PIDE in Press,Karim Khan,,,https://pide.org.pk/research/securitys-weakest-link/,,,,,,0
manufacturing-batteries-locally,Manufacturing batteries locally,2026-08-17,2026-08,2026,PIDE in Press,PIDE in Press,Sapna V Khemani,,,https://pide.org.pk/research/manufacturing-batteries-locally/,,,,,,0
issues-in-the-automobile-industry,Issues in the Automobile Industry,2026-08-17,2026-08,2026,PIDE in Press,PIDE in Press,Usman Qadir,,,https://pide.org.pk/research/issues-in-the-automobile-industry/,,,,,,0
